binary,Outlet_1,Outlet_2,Outlet_3,Outlet_4,Outlet_5,Outlet_6
,,,,,,
1011111111011111111111111101110111100111101101111111010111000000000000000000000000000000000000000000000000,1,2,1.490344626,1.541522563,1.583086602,1.607406262
1011111111011111111111111110101011111100111111111111111111000000000000000000000000000000000000000000000000,1,2,1.4033603,1.499997307,1.521083075,1.562308376
1011111111011111111111111111011011101001011101111111111111000000000000000000000000000000000000000000000000,1,2,1.502960115,1.543381013,1.559674824,1.599702777
1011111111011111111111111111101011111111011111111011101101000000000000000000000000000000000000000000000000,1,2,1.277047496,1.295490288,1.305340477,1.309932631
1011111111011111111111111111111110111111101111111011111111000000000000000000000000000000000000000000000000,1,2,1.450652585,1.507287056,1.549103957,1.591063673
1011111111011111111111111111111111111011111111010111111111000000000000000000000000000000000000000000000000,1,2,1.472306726,1.528357245,1.573418669,1.611518882
1011111111011111111111111111111111111110111111101111100111000000000000000000000000000000000000000000000000,1,2,1.377175891,1.434590303,1.466139093,1.494953748
1011111111011111111111111111111111111111111111111111111111000000000000000000000000000000000000000000000000,1,2,1.415446381,1.483973025,1.532016547,1.577784342
1011111111100001111111011111111001111011111111101111111111000000000000000000000000000000000000000000000000,1,2,1.487972819,1.539421406,1.584893476,1.627399101
1011111111100111101111111101110011111110111110101011111111000000000000000000000000000000000000000000000000,1,2,1.412550096,1.472512872,1.518121874,1.579630269
1011111111100111110100011110111111011111111110111111111111000000000000000000000000000000000000000000000000,1,2,1.342260564,1.476807575,1.558122885,1.620606696
1011111111100111110111111111111101111110111101111110111101000000000000000000000000000000000000000000000000,1,2,1.460494615,1.503601073,1.530545027,1.556036034
1011111111100111111010101110111111111011111111101111111101000000000000000000000000000000000000000000000000,1,2,1.384230045,1.461372846,1.516229527,1.562438203
1011111111100111111010111111111011110111111111101111111111000000000000000000000000000000000000000000000000,1,2,1.588536247,1.607576036,1.637274008,1.670012201
1011111111100111111101111111111110111111111111111111101111000000000000000000000000000000000000000000000000,1,2,1.396670919,1.461588533,1.504792261,1.53937422
1011111111100111111111111011111111111111111111011111111111000000000000000000000000000000000000000000000000,1,2,1.451437888,1.54433445,1.590175168,1.63064295
1011111111100111111111111111101111111111110011111111111111000000000000000000000000000000000000000000000000,1,2,1.401894451,1.474485929,1.516751512,1.548308948
1011111111100111111111111111110111011111111110111111111111000000000000000000000000000000000000000000000000,1,2,0,1.489610222,1.535788714,1.574928834
1011111111100111111111111111111111101111111011101111110111000000000000000000000000000000000000000000000000,1,2,1.416933065,1.478457702,1.514755114,1.531401496
1011111111101001110111110111010111011111111111101011000111000000000000000000000000000000000000000000000000,1,2,0,1.309458349,1.343666241,1.357737371
1011111111101010011101111011111111101111111110110111010111000000000000000000000000000000000000000000000000,1,2,1.427986373,1.533383512,1.574725417,1.591839875
1011111111101011100001111111101111111111111111111111100101000000000000000000000000000000000000000000000000,1,2,1.305272046,1.398404989,1.431034094,1.43920364
1011111111101011101101111111101110111101011101111011111010000000000000000000000000000000000000000000000000,1,2,1.404338809,1.552748778,1.565809823,1.575863461
1011111111101011110011111110111111111011111111000100111111000000000000000000000000000000000000000000000000,1,2,1.41020551,1.4967572,1.54510574,1.602541055
1011111111101011110111111011111110011111111111111001011111000000000000000000000000000000000000000000000000,1,2,1.483652965,1.573701996,1.61153928,1.643316482
1011111111101011111110111111101111101111111111111111111111000000000000000000000000000000000000000000000000,1,2,1.402672624,1.485897884,1.533057487,1.569259858
1011111111101011111111111111011111001111111011111111111111000000000000000000000000000000000000000000000000,1,2,1.357004717,1.45578593,1.502501586,1.548464356
1011111111101011111111111111111011111011111111111011110111000000000000000000000000000000000000000000000000,1,2,1.481104465,1.53293632,1.56652456,1.579395768
1011111111101100111111101111011111101111110111111111111111000000000000000000000000000000000000000000000000,1,2,1.358676472,1.434391201,1.499556177,1.554385921
1011111111101101010111111111001010101011111011101101111111000000000000000000000000000000000000000000000000,1,2,1.5107763,1.527825187,1.564672395,1.596919103
1011111111101101011101111111011111111110111111101111111111000000000000000000000000000000000000000000000000,1,2,1.336322992,1.464596238,1.531337345,1.590618631
1011111111101101111101111111110011011011111010110010111101000000000000000000000000000000000000000000000000,1,2,0,1.495155065,1.559007825,1.602165156
1011111111101101111110011010110111111111111010010111101011000000000000000000000000000000000000000000000000,1,2,1.266001331,1.330420717,1.382593579,1.409445392
1011111111101101111111111011011111111111001011111101111011000000000000000000000000000000000000000000000000,1,2,1.369146315,1.455325256,1.511759836,1.512524654
1011111111101110100111110110011100111111111110100111111110000000000000000000000000000000000000000000000000,1,2,1.361626604,1.419708488,1.478692645,1.539010055
1011111111101110101101100011111110110000110111111111101110000000000000000000000000000000000000000000000000,1,2,2,2,2,2
1011111111101110101111110111111101110011111111111111101101000000000000000000000000000000000000000000000000,1,2,1.539874323,1.555201961,1.577164369,1.585265162
1011111111101110101111111110110011101111111101111111111111000000000000000000000000000000000000000000000000,1,2,1.464110126,1.487081517,1.547349206,1.605253679
1011111111101110111001101111111010001111111111111110101111000000000000000000000000000000000000000000000000,1,2,1.458648194,1.475860403,1.516528004,1.560213646
1011111111101110111010111111111111111101111110111110111111000000000000000000000000000000000000000000000000,1,2,1.353403837,1.501323168,1.535630951,1.594326291
1011111111101110111101100111111111111111111111111111111111000000000000000000000000000000000000000000000000,1,2,1.42534327,1.499907681,1.560941554,1.606472781
1011111111101110111101101111111101110111011111111111111110000000000000000000000000000000000000000000000000,1,2,1.662505208,1.668550715,1.681111849,1.691984296
1011111111101110111101111110111110111111111111110111111111000000000000000000000000000000000000000000000000,1,2,1.395087208,1.476235985,1.546676956,1.60112321
